name,show
Vermont,no
North Dakota,no
Iowa,no
New Hampshire,no
Hawaii,no
Utah,no
Colorado,no
Idaho,no
Massachusetts,yes
South Dakota,no
Virginia,no
Maine,no
Wisconsin,no
Nebraska,no
Oklahoma,no
Alabama,no
Delaware,no
Florida,no
Kansas,no
Missouri,no
New Jersey,no
Arkansas,no
Indiana,no
Minnesota,no
Montana,no
South Carolina,no
Texas,yes
Rhode Island,no
Tennessee,no
Connecticut,yes
Georgia,no
Wyoming,no
Maryland,no
Pennsylvania,yes
New York,yes
Ohio,no
Oregon,no
California,yes
Nevada,no
Illinois,yes
North Carolina,yes
Kentucky,no
Louisiana,no
Michigan,no
Washington,no
West Virginia,no
Arizona,no
New Mexico,no
Mississippi,no
District of Columbia,yes
Alaska,no
