StartDate,EndDate,Period,Employee,EmployeeName,TargetRatio,TargetHrs,PeriodHrs,ActualRegHrs,ActualOvtHrs,scale_maxhrs
10/28/2019,11/3/2019,10/28 to 11/3 '19,Employee A,Employee A,0.85,34,20,NA,NA,20
11/4/2019,11/10/2019,11/4 to 11/10 '19,Employee A,Employee A,0.85,34,20,NA,NA,20
11/11/2019,11/17/2019,11/11 to 11/17 '19,Employee A,Employee A,0.85,34,20,22,NA,22
11/18/2019,11/24/2019,11/18 to 11/24 '19,Employee A,Employee A,0.85,34,20,NA,NA,20
11/25/2019,12/1/2019,11/25 to 12/1 '19,Employee A,Employee A,0.85,20.4,20,NA,NA,20
10/28/2019,11/3/2019,10/28 to 11/3 '19,Employee B,Employee B,0.7,28,8,1,NA,8
11/4/2019,11/10/2019,11/4 to 11/10 '19,Employee B,Employee B,0.7,28,8,3,4,8
11/11/2019,11/17/2019,11/11 to 11/17 '19,Employee B,Employee B,0.7,28,8,8,NA,8
11/18/2019,11/24/2019,11/18 to 11/24 '19,Employee B,Employee B,0.7,28,8,NA,NA,8
11/25/2019,12/1/2019,11/25 to 12/1 '19,Employee B,Employee B,0.7,16.8,6,1,NA,6
12/9/2019,12/15/2019,12/9 to 12/15 '19,Employee B,Employee B,0.7,28,5,2,NA,5
12/16/2019,12/22/2019,12/16 to 12/22 '19,Employee B,Employee B,0.7,28,5,2,NA,5
12/23/2019,12/29/2019,12/23 to 12/29 '19,Employee B,Employee B,0.7,22.4,5,NA,NA,5
12/30/2019,1/5/2020,12/30 to 1/5 '20,Employee B,Employee B,0.7,22.4,5,NA,NA,5
1/6/2020,1/12/2020,1/6 to 1/12 '20,Employee B,Employee B,0.7,28,5,3,NA,5
1/13/2020,1/19/2020,1/13 to 1/19 '20,Employee B,Employee B,0.7,28,5,11,NA,11
1/20/2020,1/26/2020,1/20 to 1/26 '20,Employee B,Employee B,0.7,22.4,5,1,NA,5
1/27/2020,2/2/2020,1/27 to 2/2 '20,Employee B,Employee B,0.7,28,5,8,NA,8
2/3/2020,2/9/2020,2/3 to 2/9 '20,Employee B,Employee B,0.7,28,5,5,NA,5
2/10/2020,2/16/2020,2/10 to 2/16 '20,Employee B,Employee B,0.7,28,5,NA,NA,5
2/17/2020,2/23/2020,2/17 to 2/23 '20,Employee B,Employee B,0.7,22.4,5,2,NA,5
2/24/2020,3/1/2020,2/24 to 3/1 '20,Employee B,Employee B,0.7,28,5,2,NA,5
3/2/2020,3/8/2020,3/2 to 3/8 '20,Employee B,Employee B,0.7,28,5,NA,NA,5
3/9/2020,3/15/2020,3/9 to 3/15 '20,Employee B,Employee B,0.7,28,5,NA,NA,5
3/16/2020,3/22/2020,3/16 to 3/22 '20,Employee B,Employee B,0.7,28,5,NA,NA,5
3/23/2020,3/29/2020,3/23 to 3/29 '20,Employee B,Employee B,0.7,28,5,NA,NA,5
3/30/2020,4/5/2020,3/30 to 4/5 '20,Employee B,Employee B,0.7,28,5,NA,NA,5
4/6/2020,4/12/2020,4/6 to 4/12 '20,Employee B,Employee B,0.7,28,5,NA,NA,5
4/13/2020,4/19/2020,4/13 to 4/19 '20,Employee B,Employee B,0.7,28,5,NA,NA,5
4/20/2020,4/26/2020,4/20 to 4/26 '20,Employee B,Employee B,0.7,28,5,NA,NA,5
4/27/2020,5/3/2020,4/27 to 5/3 '20,Employee B,Employee B,0.7,28,5,NA,NA,5
5/4/2020,5/10/2020,5/4 to 5/10 '20,Employee B,Employee B,0.7,28,5,NA,NA,5
5/11/2020,5/17/2020,5/11 to 5/17 '20,Employee B,Employee B,0.7,28,5,NA,NA,5
5/18/2020,5/24/2020,5/18 to 5/24 '20,Employee B,Employee B,0.7,28,5,NA,NA,5
5/25/2020,5/31/2020,5/25 to 5/31 '20,Employee B,Employee B,0.7,22.4,5,NA,NA,5
2/3/2020,2/9/2020,2/3 to 2/9 '20,Employee C,Employee C,0.85,34,40,34.5,NA,40
2/10/2020,2/16/2020,2/10 to 2/16 '20,Employee C,Employee C,0.85,34,40,39,NA,40
2/17/2020,2/23/2020,2/17 to 2/23 '20,Employee C,Employee C,0.85,27.2,40,32,NA,40
2/24/2020,3/1/2020,2/24 to 3/1 '20,Employee C,Employee C,0.85,34,40,39,NA,40
3/2/2020,3/8/2020,3/2 to 3/8 '20,Employee C,Employee C,0.85,34,30,NA,NA,30
3/9/2020,3/15/2020,3/9 to 3/15 '20,Employee C,Employee C,0.85,34,30,NA,NA,30
3/16/2020,3/22/2020,3/16 to 3/22 '20,Employee C,Employee C,0.85,34,30,NA,NA,30
3/23/2020,3/29/2020,3/23 to 3/29 '20,Employee C,Employee C,0.85,34,30,NA,NA,30
3/30/2020,4/5/2020,3/30 to 4/5 '20,Employee C,Employee C,0.85,34,30,NA,NA,30
4/6/2020,4/12/2020,4/6 to 4/12 '20,Employee C,Employee C,0.85,34,30,NA,NA,30
4/13/2020,4/19/2020,4/13 to 4/19 '20,Employee C,Employee C,0.85,34,30,NA,NA,30
4/20/2020,4/26/2020,4/20 to 4/26 '20,Employee C,Employee C,0.85,34,30,NA,NA,30
4/27/2020,5/3/2020,4/27 to 5/3 '20,Employee C,Employee C,0.85,34,30,NA,NA,30
5/4/2020,5/10/2020,5/4 to 5/10 '20,Employee C,Employee C,0.85,34,30,NA,NA,30
5/11/2020,5/17/2020,5/11 to 5/17 '20,Employee C,Employee C,0.85,34,30,NA,NA,30
5/18/2020,5/24/2020,5/18 to 5/24 '20,Employee C,Employee C,0.85,34,30,NA,NA,30
5/25/2020,5/31/2020,5/25 to 5/31 '20,Employee C,Employee C,0.85,27.2,30,NA,NA,30
10/28/2019,11/3/2019,10/28 to 11/3 '19,Employee D,Employee D,0.85,34,20,4,NA,20
